(1, 419-988-2115, 45.85029, France, Thiers, 63304 CEDEX)
(47, 778-613-2952, -7.0655466, Brazil, Mari, 58345-000)
(48, 773-753-4883, -24.5082407, Brazil, Iguape, 11920-000)
(49, 649-824-0364, 49.3268319, Russia, Ilovlya, 403070)
(50, 357-962-3797, 46.4376847, Croatia, Domašinec, 40318)
(51, 893-416-8457, 36.406404, China, Guolemude, )
(52, 592-368-0608, 31.5383581, Morocco, Chichaoua, )
(53, 254-533-4636, 5.9, Nigeria, Uruobo-Okija, )
(54, 672-241-2105, -26.8327412, Argentina, General La Madrid, 7406)
(55, 777-967-2476, -2.688962, Indonesia, Pangkalanbuun, )
(56, 450-332-2335, 34.759314, China, Lingqian, )
(57, 508-183-5537, 27.388611, Mexico, Primero de Mayo, 27944)
(58, 464-976-5321, 58.1295491, Russia, Chaykovskaya, 617010)
(59, 503-787-3170, 30.2638032, China, Shichuan, )
(60, 317-874-9035, 41.244729, China, Yutan, )
(61, 136-234-8301, 14.6912206, Philippines, Pontevedra, 6105)
(62, 549-520-1539, 32.0302286, Morocco, Tabia, )
(63, 290-902-5199, 43.0174717, Uzbekistan, Qorao’zak, )
(64, 708-895-3988, 40.8890204, Greece, Kampánis, )
(65, 473-258-3473, 24.3520171, China, Hetou, )
(66, 682-722-3675, 27.5558363, China, Baqiu, )
(67, 353-336-9379, -22.1468812, Brazil, Martinópolis, 19500-000)
(68, 384-539-9976, 49.3696768, Poland, Polańczyk, 38-610)
(69, 162-691-8612, 44.5132212, Ukraine, Voskhod, )
(70, , 14.2553505, , , )
(71, 977-588-9595, 34.6146101, Pakistan, Bat Khela, 18351)
(72, 246-373-7780, 14.5570389, Philippines, San Esteban, 2706)
(73, 627-411-8854, -8.1141, Indonesia, Brongkah, )
(74, 822-251-6180, 49.2337681, France, Crépy-en-Valois, 60804 CEDEX)
(75, 459-818-3145, , China, Darya Boyi, )
(76, 687-276-9156, 56.1263981, Russia, Tyazhinskiy, 652240)
(77, 761-865-0170, 13.8303, Philippines, Libato, 9319)
(78, , 27.0874564, , , )
(79, , 49.1140686, , , )
(80, 738-427-7550, 39.8086333, China, Guojia, )
(81, 603-456-4361, 39.73287, China, Huquan, )
(82, 401-928-7560, 48.890054, France, Paris La Défense, 92083 CEDEX)
(83, 988-500-0518, 13.939297, Philippines, Buan, 6333)
(84, 440-424-1096, -3.7114163, Indonesia, Muaraenim, )
(85, 378-477-8022, 40.2938995, Armenia, Sarukhan, )
(86, 806-873-5015, -32.0288506, Brazil, Herval, 96310-000)
(87, 417-452-1837, -24.42787, Botswana, Bokaa, )
(88, 479-602-0961, 18.6642304, Vietnam, Nghi Xuân, )
(89, 805-330-7576, 6.3049636, Nigeria, Agbani, )
(90, 292-922-6979, 52.774987, Russia, Tabuny, 658860)
(91, 812-287-2844, 29.805107, China, Beibei, )
(92, 124-542-8140, 27.318852, China, Yongfeng, )
(93, 180-470-4624, 35.550111, China, Qiqian, )
(94, 792-452-8444, -6.9114323, Indonesia, Andir, )
(95, 545-711-7104, 35.0702051, China, Jiefang, )
(96, 183-675-1055, 49.794945, Czech Republic, Březová, 747 44)
(97, 227-729-0822, 23.104725, China, Guansheng, )
(98, 642-558-9028, 41.6286623, Spain, Zaragoza, 50080)
(99, 814-808-5303, -8.2104974, Indonesia, Banjar Budakeling, )
(100, 588-510-2603, 49.7719889, Czech Republic, Bohumín, 736 01)
(101, 816-149-8485, 51.3842543, Russia, Solnechnyy, 681008)
(102, 418-646-5111, 49.9146804, Czech Republic, Štítina, 747 91)
(103, 992-462-8293, 5.8643369, Indonesia, Kruengraya, )
(104, , -8.4704285, , , )
(105, 979-720-7702, 28.0206587, Pakistan, Chowki Jamali, 80401)
(106, 471-985-1679, 59.412262, Norway, Haugesund, 5532)
(107, 793-908-2017, , Ukraine, Usatove, )
(108, 352-769-7195, 47.55728, China, Taha Man Zu, )
(109, 852-477-1372, -8.7318869, Indonesia, Detusoko, )
(110, 423-820-8165, -38.7359018, Chile, Temuco, )
(111, 694-138-4916, 13.7122103, Niger, Mirriah, )
(112, 192-595-2565, 22.332599, Cuba, Cruces, )
(113, 567-986-4881, 28.998299, China, Baishuitan, )
(114, 434-972-0833, 49.0940835, Czech Republic, Jaroměřice nad Rokytnou, 675 51)
(115, 907-119-3163, -28.051106, Argentina, Gobernador Ingeniero Valentín Virasoro, 3342)
(116, , 55.55361, , , 96047)
(117, 815-317-4733, 42.2685543, United States, Rockford, 61105)
(118, 166-843-8241, 5.9368109, Sri Lanka, Matara, 81000)
(119, 528-353-5547, 55.6686582, Russia, Berëzovskiy, 662514)
(120, 725-310-2511, 26.2366058, Saudi Arabia, Al Wajh, )
(121, 243-234-6147, 48.081286, Hungary, Miskolc, 3504)
(122, 827-940-7351, 28.002849, China, Biaoxi, )
(123, 729-311-3432, 5.3419104, Nigeria, Omoku, )
(124, 342-984-5053, 22.347589, China, Yashan, )
(125, 574-811-8673, 50.2496386, Kazakhstan, Arkalyk, )
(126, 544-255-1509, -11.7172157, Comoros, Moroni, )
(127, 560-307-4398, 52.0016128, Russia, Uvarovo, 393479)
(128, 315-525-2746, -23.4214264, Paraguay, Concepción, )
(129, 568-653-1330, 12.4069994, Nigeria, Tambawel, )
(130, 519-907-7322, 32.916287, China, Pengbu, )
(131, 109-120-5918, 47.719429, Mongolia, Arhust, )
(132, 373-526-2813, -0.8897256, Uganda, Kanungu, )
(133, 239-250-0954, 16.158922, Thailand, Thap Khlo, 71000)
(134, 127-328-4921, 30.939169, China, Xinlong, )
(135, 890-656-8502, 41.5728211, Bulgaria, Gotse Delchev, 2971)
(136, 176-730-4015, 42.2685369, China, Tewulike, )
(137, 484-191-6562, 38.7638314, Portugal, Vale Mourão, 2635-466)
(138, 563-255-4410, -12.417342, Brazil, Conceição do Jacuípe, 44245-000)
(139, 850-738-0628, 30.475663, United States, Pensacola, 32575)
(140, 143-232-2340, 9.7016493, Costa Rica, San Francisco, 10802)
(141, 412-937-7580, 38.143169, China, Haixing, )
(142, 829-821-3818, 14.5655642, Philippines, Gabaldon, 3131)
(143, 228-221-2484, 3.0100681, Malaysia, Shah Alam, 40726)
(144, 854-981-9346, 40.8318278, Armenia, Spitak, )
(145, 379-266-2125, 8.2853585, Panama, La Palma, )
(146, 326-887-7512, , Greece, Káto Dhiminió, )
(147, , 57.1734042, , , 331 85)
(148, 744-311-7941, -17.3013059, Zimbabwe, Bindura, )
(149, 210-263-8159, 21.1078535, Mexico, Las Americas, 38835)
(150, 220-544-3909, 22.6875359, Cuba, Batabanó, )
(151, 952-488-5142, -8.6603, Indonesia, Tangkanpulit, )
(152, 302-722-5783, -6.9899077, Indonesia, Randusari, )
(153, 445-992-5140, 36.4203181, Japan, Hitachi-Naka, 312-0063)
(154, 599-613-3535, 32.276495, China, Shihua, )
(155, 977-163-6455, 14.5403397, Philippines, Calumpang, 2307)
(156, 714-311-5381, 47.666899, France, Auray, 56404 CEDEX)
(157, 690-102-5567, 43.8427177, Russia, Staropavlovskaya, 361513)
(158, 638-402-5095, 13.75639, Thailand, Ban Ko Lan, 48180)
(159, 893-883-3109, 22.454973, Bangladesh, Morrelgonj, 3807)
(160, 436-288-9002, 46.9684329, Switzerland, Bern, 3030)
(161, 758-823-6333, 45.6110839, Serbia, Kula, )
(162, 369-242-9984, 26.5502644, Saudi Arabia, Al ‘Ulá, )
(163, 881-911-1601, -9.4852898, Indonesia, Weekombaka, )
(164, 184-932-1703, 32.3196827, Libya, Mişrātah, )
(165, , 36.5122781, , , )
(166, 381-942-8987, 48.7700185, France, Rungis, 94518 CEDEX 1)
(167, 525-469-1872, 35.70915, Tunisia, Al Wardānīn, )
(168, 571-622-3321, -7.3348063, Indonesia, Mulyo, )
(169, 671-190-1397, -7.9062121, Indonesia, Wringinsari, )
(170, 520-338-0082, 3.1523104, Malaysia, Kuala Lumpur, 50740)
(171, 614-571-0426, 52.1598029, Poland, Kotuń, 08-130)
(172, 187-427-4350, , Indonesia, Cemplang, )
(173, 311-219-7350, 21.3785203, Vietnam, Thị Trấn Tân Yên, )
(174, 772-256-4437, -30.4015687, Lesotho, Quthing, )
(175, 979-789-8322, 20.1871897, Cuba, San Luis, )
(176, 784-427-4151, -6.33731, Indonesia, Indramayu, )
(177, 698-766-2797, 9.5403936, Philippines, Mainit, 8407)
(178, 340-617-6173, 41.728401, China, Tonghu, )
(179, 393-817-3910, 49.1077, Czech Republic, Hrotovice, 675 55)
(180, 385-836-8477, 50.1249419, Czech Republic, Jirny, 250 90)
(181, 396-479-0658, 32.596752, China, Jieduo, )
(182, 661-537-2365, 42.9228102, Croatia, Podstrana, 53213)
(183, , 31.919897, , , )
(184, 521-493-0103, 63.1700739, Sweden, Östersund, 831 37)
(185, 127-442-6936, 53.43606, Poland, Ińsko, 73-140)
(186, 832-518-6814, -7.1562056, Brazil, Bayeux, 58305-000)
(187, 327-282-9898, -6.2694214, Angola, Mbanza Congo, )
(188, 182-456-5799, 43.9760578, Bosnia and Herzegovina, Pajić Polje, )
(189, , 45.6326302, , , 69281 CEDEX 01)
(190, 494-831-7655, 45.9891389, Canada, Nackawic, E6G)
(191, 885-405-2784, 43.0429124, France, Lyon, 69939 CEDEX 20)
(192, 407-430-4315, 32.7128968, Syria, As Suwaydā’, )
(193, 999-713-3188, 36.4406171, China, Jianjun, )
(194, 483-557-7589, 18.2726824, Dominican Republic, Pizarrete, 10608)
(195, 325-715-2166, 14.0767924, Philippines, Sabang, 4323)
(196, 227-811-5252, 32.206857, China, Guangshan Chengguanzhen, )
(197, 250-211-6561, 10.6253016, Cambodia, Sihanoukville, )
(198, 936-406-1947, 30.0435239, United States, Beaumont, 77713)
(199, 456-313-3754, 54.7528249, Lithuania, Kazlų Rūda, 69083)
(200, 395-803-0904, 42.946285, China, Panshi, )
(201, 464-327-7627, 23.125827, China, Xiongji, )
(202, 615-231-5229, 45.4518103, Canada, Ottawa, J8Y)
(203, 944-641-9032, 51.897904, Netherlands, Rotterdam, 3094)
(204, 403-844-4589, 57.7193113, Russia, Okhansk, 618100)
(205, 731-985-1151, 35.30385, China, Hongqi, )
(206, 181-829-3878, -29.2231867, Brazil, Farroupilha, 95180-000)
(207, 715-326-7827, 48.376687, Ukraine, Shypyntsi, )
(208, 905-811-3587, 5.0281872, Malaysia, Lahad Datu, 91117)
(209, 291-746-3110, 17.06034, Philippines, Sindon, 2708)
(210, 793-580-4803, -10.6245, Indonesia, Daeosin Satu, )
(211, 650-267-4269, 37.533773, China, Zhichu, )
(212, 322-322-1222, 60.0750723, Finland, Karis, 39290)
(213, 779-171-2359, -8.1233399, Indonesia, Banjar Kelodan, )
(214, 202-583-8041, -8.7035662, Indonesia, Sukarara Utara, )
(215, 890-136-9280, 23.0327274, China, Rifeng, )
(216, 502-983-1996, 38.2, United States, Louisville, 40287)
(217, 662-599-3037, 45.803775, China, Harbin, )
(218, 803-914-8419, 54.5940619, United Kingdom, Belfast, BT2)
(219, , 29.605376, , , )
(220, 293-444-0469, -33.1228052, Uruguay, Fray Bentos, )
(221, 307-580-0621, -7.4, Indonesia, Cikaso, )
(222, 534-644-2350, 53.9842593, Russia, Chita, 111721)
(223, 601-838-3786, 35.10456, Japan, Ayabe, 708-1104)
(224, 141-197-4314, 59.6117063, Sweden, Deje, 669 31)
(225, 326-508-9960, 23.113478, China, Dongpu, )
(226, 359-140-4752, -6.5312892, Indonesia, Rancabungur, )
(227, 877-426-5496, -7.0071448, Indonesia, Robatal, )
(228, 900-820-8476, 39.8949802, Greece, Elassóna, )
(229, 850-795-6821, 18.4530602, Dominican Republic, Bella Vista, 10112)
(230, 522-466-2880, 35.8886106, Japan, Toride, 302-0004)
(231, 526-309-4538, 9.9296381, Philippines, Tayasan, 6211)
(232, 370-761-6393, 39.949418, China, Guojiazhuang, )
(233, 114-341-7565, 49.116169, France, Metz, 57052 CEDEX 02)
(234, 959-281-1309, 39.7406374, Portugal, Souto de Cima, 2420-130)
(235, 247-227-3923, -12.3713805, Brazil, Catu, 48110-000)
(236, 393-113-4992, 40.1632626, Armenia, Ejmiatsin, )
(237, 799-477-7999, -7.6633857, Indonesia, Kertorejo, )
(238, 334-335-5522, 13.6730341, Thailand, Rat Burana, 10140)
(239, 191-419-8043, , Indonesia, Duwakkandung, )
(240, 427-711-9525, 45.506995, China, Da’an, )
(241, 944-363-1133, 50.94076, Poland, Żarów, 58-130)
(242, 779-567-9292, -37.3130297, Argentina, Arroyo Seco, 5196)
(243, 749-192-2631, 28.5459092, Pakistan, Dera Murād Jamāli, 49090)
(244, , -6.183459, , , )
(245, 423-130-9239, 53.1294318, Russia, Novokuz’minki, 173509)
(246, 713-714-9423, 63.503807, Russia, Vodnyy, 169336)
(247, 279-387-3368, 15.3985496, Honduras, Loma Alta, )
(248, , 11.8566874, , , )
(249, 833-341-6788, 49.8811735, Poland, Dobczyce, 32-410)
(250, 161-624-9651, 48.239135, China, Bei’an, )
(251, 241-478-4466, -34.6098701, Argentina, San Jorge, 5117)
(252, 325-440-3386, 49.6321378, Czech Republic, Hukvaldy, 739 46)
(253, 655-604-6509, 48.0201627, Ukraine, Torez, )
(254, 936-176-0707, 25.526437, China, Daoxian, )
(255, 512-964-1182, 30.4864144, United States, Round Rock, 78682)
(256, 875-767-0463, 17.45685, Philippines, Mozzozzin Sur, 6326)
(257, 713-432-6686, 29.7322762, United States, Houston, 77288)
(258, 140-815-1390, 57.7117601, Sweden, Borås, 504 31)
(259, 220-909-1485, -8.283558, Indonesia, Akarakar, )
(260, 266-845-2178, 48.1735351, Canada, Neebing, P7L)
(261, 383-713-8890, 26.647661, China, Guitang, )
(262, 624-405-8037, 23.178828, China, Baiyushan, )
(263, 750-137-3231, -9.5961614, Indonesia, Wailolung, )
(264, 323-910-5862, 18.04406, Philippines, Palagao Norte, 0918)
(265, 144-475-8234, 61.8592319, Finland, Savonlinna, 57810)
(266, 311-195-0082, 14.2157645, Vietnam, Phú Mỹ, )
(267, 916-670-8502, 49.47512, Canada, Sechelt, K1B)
(268, 801-769-4623, 40.7, United States, Salt Lake City, 84125)
(269, 441-796-0890, 60.5392626, Russia, Sovetskiy, 188918)
(270, 820-115-9588, -27.3777068, Argentina, Posadas, 3300)
(271, 386-910-6859, -34.7569609, Argentina, Presidencia Roque Sáenz Peña, 2124)
(272, 100-440-5284, 43.4945737, France, Paris 12, 75609 CEDEX 12)
(273, 266-802-2064, 18.0699396, Philippines, Alannay, 3524)
(274, 433-739-8450, 55.813957, Russia, Ostankinskiy, 901993)
(275, 927-279-6446, 51.4238758, Ukraine, Volodymyrets’, )
(276, 634-653-6477, 33.580873, China, Luoshe, )
(277, 580-142-2633, 39.7467369, China, Fengxizhai, )
(278, 903-442-8327, 45.1257987, Serbia, Šid, )
(279, 988-421-9521, -7.5651443, Indonesia, Plandi, )
(280, 110-630-9538, 49.4928119, Canada, Nelson, V1L)
(281, 607-452-5206, 41.6559343, Portugal, Vila Fria, 4935-804)
(282, 344-887-6507, 7.5273576, Philippines, Santo Tomas, 8112)
(283, 278-254-4734, 17.1179264, Philippines, Simimbaan, 4200)
(284, 809-421-1647, 48.4373686, Canada, Victoria, V9A)
(285, 880-312-9674, 57.2287633, Russia, Staroutkinsk, 623036)
(286, 734-310-8721, -21.3407385, Brazil, Cravinhos, 14140-000)
(287, , 7.92772, , , )
(288, 597-810-2020, 1.2964078, Equatorial Guinea, Aconibe, )
(289, 849-627-1569, 9.879065, Costa Rica, San Juan de Dios, 10303)
(290, 555-462-4234, -6.1410265, Angola, Soio, )
(291, 248-280-4611, 14.6489525, Niger, Tillabéri, )
(292, 910-245-3712, 41.5370005, Portugal, Macedo de Cavaleiros, 5340-197)
(293, 208-377-3132, 36.9207067, Japan, Itoigawa, 949-0544)
(294, 264-321-8951, 31.0604911, Morocco, Skoura, )
(295, 291-928-9519, 50.9468692, Poland, Opatów, 42-152)
(296, 168-635-4564, 52.99166, Poland, Kcynia, 89-240)
(297, 693-310-8037, -19.7667781, Brazil, Nova Era, 35920-000)
(298, 175-486-9187, 10.664587, Vietnam, Thạnh Hóa, )
(299, 860-537-0442, -22.1468812, Brazil, Martinópolis, 19500-000)
(300, 996-623-4412, 31.067673, China, Lixiqiao, )
(301, , 1.256633, , , 054028)
(302, 574-691-5391, 9.3136403, Philippines, Lepanto, 2417)
(303, 824-873-6812, 39.9041999, China, Beigong, )
(304, 156-961-8777, -7.2194536, Indonesia, Cigadog Hilir, )
(305, 670-399-4013, -6.7332152, Indonesia, Bulumulyo, )
(306, 818-413-2265, 32.965655, Israel, Beit Jann, )
(307, 616-132-8180, , Russia, Shchigry, 399505)
(308, 554-482-6670, -8.6467, Indonesia, Malapaubhara, )
(309, 348-905-5007, 22.7244454, Oman, Ibrā’, )
(310, 303-633-6561, 49.2060334, Czech Republic, Telč, 588 62)
(311, 293-755-7834, 9.7525077, Vietnam, Gò Quao, )
(312, 644-400-9807, 49.0535092, Czech Republic, Bošovice, 683 54)
(313, 517-537-0011, 45.7236192, Canada, Sussex, E4E)
(314, 222-614-8772, -34.5434158, Argentina, Fernández, 4322)
(315, , 29.040621, , , )
(316, 575-136-1439, 14.3839328, Philippines, Santo Niño, 6711)
(317, 299-300-3562, 32.7986666, Morocco, Kerrouchen, )
(318, 810-789-4849, -22.9161789, Brazil, Mangaratiba, 23860-000)
(319, 840-659-1073, 3.9456908, Colombia, Cunday, 734048)
(320, 984-519-9140, 15.4687838, Yemen, Al Maḩwīt, )
(321, 287-533-8725, 37.0891468, Japan, Date, 949-8522)
(322, 591-286-6692, 50.1770891, Ukraine, Vasylkiv, )
(323, 612-720-7090, -20.1217728, Brazil, Lajinha, 36980-000)
(324, 381-943-6310, 29.9120904, China, Pingshui, )
(325, 830-534-1399, -32.78333, Chile, Hacienda La Calera, )
(326, 899-921-2556, 7.156124, Sri Lanka, Minuwangoda, 11550)
(327, 126-642-6876, 27.330904, China, Hufang, )
(328, 725-819-6645, 56.1060907, Russia, Krasnoarmeysk, 141292)
(329, 295-856-4344, -8.401854, Indonesia, Tegalsari, )
(330, 954-597-4779, 29.737993, China, Huangshapu, )
(331, 102-817-1392, 41.9250632, Bulgaria, Gorna Oryakhovitsa, 5145)
(332, 929-735-6748, 28.303163, China, Gaoxu, )
(333, 291-559-8148, 55.41667, Lithuania, Skaudvilė, 73028)
(334, 555-511-4778, 69.0474473, Russia, Safonovo, 184621)
(335, 781-653-9568, 52.0264758, Poland, Latowicz, 05-334)
(336, 466-747-1515, 14.98808, Yemen, ‘Ubāl, )
(337, 988-936-0371, -22.7428038, Brazil, Tanguá, 24890-000)
(338, , 14.740841, , , 42130)
(339, 433-748-2642, 60.2213963, Finland, Savitaipale, 54801)
(340, 642-384-2233, -6.7715938, Indonesia, Megulung, )
(341, 959-705-7939, 25.0493618, China, Zhengji, )
(342, 736-458-3340, 60.2705509, Finland, Broby, 39410)
(343, 474-258-7796, 59.33549, Sweden, Stockholm, 114 89)
(344, 839-299-4972, 7.0706548, Colombia, Betulia, 686508)
(345, , -34.5903044, , , 4132)
(346, 586-432-6508, 27.9937685, China, Tengqiao, )
(347, 857-131-4130, 40.7295095, Albania, Cukalat, )
(348, 728-235-4708, 35.892944, Malta, Santa Venera, SVR)
(349, 381-353-1439, 15.6915862, Yemen, Al Ḩayfah, )
(350, 118-881-7379, 59.1631398, Sweden, Heby, 744 88)
(351, 273-322-4184, -9.6701, Indonesia, Panenggoede, )
(352, 388-567-2732, 58.673928, Sweden, Oxelösund, 613 81)
(353, 351-926-6990, 41.117245, China, Guta, )
(354, 558-825-0433, -8.154229, Indonesia, Singgit, )
(355, 184-201-3343, 46.571039, France, Moulins, 03006 CEDEX)
(356, 868-295-8774, 63.827461, Sweden, Umeå, 901 86)
(357, 428-334-8277, 32.6350368, China, Funan Chengguanzhen, )
(358, 129-473-9494, 31.0600061, China, Tiandian, )
(359, 913-530-6247, 51.2409432, Ukraine, Konotop, )
(360, 991-430-5486, 36.4583521, Japan, Mashiko, 321-4217)
(361, 345-310-1296, -6.8089753, Indonesia, Sirnaresmi, )
(362, 431-660-9456, 11.5291917, Nigeria, Kibiya, )
(363, 244-960-4691, -9.3224332, Peru, Marcara, )
(364, , 46.6187667, , , )
(365, 613-187-4627, 15.6540915, Philippines, Bicos, 3126)
(366, 928-535-4165, 0.5992059, Kenya, Webuye, )
(367, 563-688-4126, -32.9867567, Argentina, Laprida, 4205)
(368, 293-462-9497, 31.8974232, Iran, Yazd, )
(369, 568-184-6784, 46.5875931, Russia, Shkurinskaya, 352000)
(370, 811-161-1784, 53.5871, Belarus, Enyerhyetykaw, )
(371, 786-422-3119, 41.7396715, United States, Clearwater, 34615)
(372, 315-706-1725, 49.19177, Czech Republic, Tvarožná, 664 05)
(373, , -22.9304477, , , 64178-000)
(374, 449-434-2627, 9.1249562, Philippines, Sagay, 9103)
(375, 212-749-1311, 40.6998888, United States, Jamaica, 11470)
(376, 849-378-1581, -17.3547843, Bolivia, Portachuelo, )
(377, 343-204-8778, 52.4908529, Poland, Pomiechówek, 05-180)
(378, 334-495-7459, 50.0461011, Czech Republic, Všetaty, 270 21)
(379, 130-598-4106, 52.2795871, Russia, Nogliki, 632498)
(380, , 37.7668391, , , )
(381, , 50.35349, , , 48-250)
(382, 840-693-3413, 13.8086742, El Salvador, Apopa, )
(383, 684-617-5100, -7.6155876, Indonesia, Boto, )
(384, , 26, , , )
(385, 683-281-4364, 46.160492, Croatia, Krapina, 49000)
(386, 130-836-0195, 36.4550658, Tunisia, Nabeul, )
(387, 175-451-9059, 45.0209955, Russia, Vysotskoye, 356526)
(388, 793-381-3623, 59.3536649, Sweden, Lidingö, 181 36)
(389, 983-598-9760, 57.8552975, Latvia, Ainaži, )
(390, 453-504-4054, 11.7913106, Djibouti, Tadjoura, )
(391, 177-906-8421, -5.81526, Peru, Bajo Naranjillo, )
(392, 626-728-5845, 31.8652881, Morocco, Ouaoula, )
(393, 285-678-8463, -20.9829904, Brazil, Itapemirim, 29330-000)
(394, 382-367-0972, 16.6482598, Thailand, Khao Kho, 67270)
(395, 302-180-9110, 53.45, Kazakhstan, Kachar, )
(396, 449-582-5646, 34.414961, China, Shangqiu, )
(397, 939-353-1636, 49.548202, China, Kuilehe, )
(398, 982-493-4984, -6.3621916, Indonesia, Tugu, )
(399, 287-380-3473, -25.891968, Mozambique, Maputo, )
(400, 329-179-9538, 37.8978165, Greece, Traganón, )
(401, 294-925-2408, 9.5887428, Philippines, Doljo, 6340)
(402, 563-932-2086, 51.462471, Russia, Elekmonar, 649234)
(403, 121-900-0492, -12.1444393, Brazil, Barreiras, 47800-000)
(404, 512-760-3789, 30.4864144, United States, Round Rock, 78682)
(405, 549-178-2669, 49.4875115, Czech Republic, Boskovice, 680 01)
(406, 234-660-4829, 23.790902, China, Jiushe, )
(407, 332-279-0243, -7.5292266, Indonesia, Boncis, )
(408, 725-722-5976, 10.4451778, Nigeria, Lame, )
(409, 459-538-3450, 43.3815181, Russia, Lazo, 692980)
(410, 627-907-3767, 6.00528, Philippines, Sionogan, 1104)
(411, 670-874-2326, 28.454511, China, Daweishan, )
(412, 678-959-9253, 10.3578054, Vietnam, Lấp Vò, )
(413, 120-241-6526, 39.302809, China, Dongtang, )
(414, 594-750-6217, -6.147133, Indonesia, Neglasari, )
(415, 222-694-6817, 30.2733296, China, Bailu, )
(416, 117-649-6859, -6.2266758, Indonesia, Senadan, )
(417, 751-768-4769, 59.0110968, Sweden, Katrineholm, 641 47)
(418, 869-457-1909, 19.4194815, Mexico, Chapultepec, 95600)
(419, 226-236-8163, 36.599744, China, Chengdong, )
(420, , 48.574041, , , )
(421, 687-962-4806, 17.9567646, Mexico, Lazaro Cardenas, 40977)
(422, 168-970-9817, 39.3960229, Tajikistan, Ayní, )
(423, 817-495-8249, -6.538, Indonesia, Hamberang Sabrang, )
(424, 925-908-7348, 19.9699898, Vietnam, Thị Trấn Quán Lào, )
(425, 664-286-3244, 32.399108, China, Geyuan, )
(426, 600-566-2135, 51.9210929, Poland, Zielona Góra, 65-980)
(427, 875-615-4749, 48.80189, Mongolia, Javhlant, )
(428, 813-599-1109, 51.3035449, Russia, Vershino-Shakhtaminskiy, 673613)
(429, 601-512-5969, 41.1154773, Portugal, Tabuaço, 5120-384)
(430, 116-744-9192, 13.9734064, Philippines, Burgos, 8424)
(431, 165-797-4069, 47.61668, Canada, Burgeo, N9A)
(432, 159-795-9328, -7.2623348, Tanzania, Kisarawe, )
(433, 334-811-7190, 32.3989318, United States, Montgomery, 36104)
(434, 934-363-2669, 5.329576, Malaysia, Kuala Terengganu, 20504)
(435, 132-305-4699, 63.8223321, Sweden, Göteborg, 411 00)
(436, 383-868-0204, 13.5122699, El Salvador, Chinameca, )
(437, 182-320-6953, 59.8505671, Sweden, Uppsala, 753 09)
